Sample_ID	PE.34.3	PE.36.6	PE.36.5	PE.36.4	PC.34.2	MGDG.34.3	PC.36.6	PC.36.4	MGDG.36.6	MGDG.36.5	DGDG.34.3	DGDG.34.2	DGDG.36.4	DAG.34.2	DAG.36.5	DAG.36.4	PE.36.2	PC.34.1	MGDG.34.2	MGDG.36.2	DGDG.34.1	DGDG.34.0	DGDG.36.2	DGDG.36.1	TAG.48.1	TAG.48.0	TAG.50.3	TAG.50.2	TAG.50.1	TAG.50.0	TAG.52.5	TAG.52.4	TAG.52.3	TAG.52.2	TAG.52.1	TAG.52.0	TAG.54.9	TAG.54.8	TAG.54.6	TAG.54.5	TAG.54.4	TAG.54.3	TAG.54.2	TAG.56.6	TAG.56.5	TAG.56.3	TAG.56.2	TAG.58.4	TAG.58.3	TAG.54.0	TAG.56.0	TAG.58.2	PS.38.1	PS.38.0	PS.40.2	PS.40.1	SQDG.32.0	SQDG.34.3	SQDG.34.2
RT_1H	24.296141	20.02355742	25.41054037	28.70305804	30.93999719	23.32388599	24.34435009	31.2134986	28.33671003	25.96939003	26.77705862	29.19835511	28.0964755	23.02391201	18.90080768	23.25349666	24.48615742	26.13711748	26.31008019	23.28206582	25.15653493	20.52621075	26.80193329	21.28347557	28.68645607	26.99765776	25.39100019	28.6075256	27.13124091	23.95836863	27.70635563	29.96774218	26.50294201	27.20769297	25.09748051	23.69710332	21.28922923	26.05465532	30.87554848	27.58262026	27.53148141	25.94279582	26.25349666	23.11596662	23.55215498	23.20329214	24.81909384	21.26351095	21.07236195	26.23352196	24.68645607	23.39100019	27.95393638	24.22435032	25.04009303	25.36452798	20.56124142	24.82880899	25.62086773
RT_2H	23.52850371	18.32355224	24.64855946	28.34095951	30.72110221	22.65333012	23.4169954	30.90454836	27.73246847	25.65403459	26.18139312	28.986851	27.89735285	22.98515036	18.87729432	23.44253049	23.82880899	25.8117643	25.95171514	22.62076394	24.60964047	19.72592637	26.41538435	20.66696909	27.66627819	26.01903141	24.32388599	27.83243538	25.90884849	22.57166482	27.27141857	29.79110336	26.06291111	26.40568008	23.91342122	22.81409845	20.6225318	25.45826341	30.83845916	27.53148141	27.407302	25.52850371	25.49533685	23.28206582	23.71816493	22.43112519	23.75938759	21.40826857	20.08216282	25.44253049	23.89504269	22.40214851	27.71947113	23.80931282	24.89965932	25.04843233	20.461761	24.26069217	24.78456616
RT_3H	23.84804521	18.66035547	25.03170524	28.5089974	30.99496365	23.16627037	24.02749299	31.23649024	28.39509294	25.86702832	26.72598444	29.27364324	28.38277968	23.296141	18.93085512	23.72858155	23.63200829	26.06085159	26.60399391	23.10592529	25.42981944	20.64843263	26.63200829	21.05226721	28.70305804	26.69975289	25.49838372	28.7421402	26.56674252	23.45513053	27.71947113	30.37243774	26.52402561	26.76445858	25.03590523	24.11743511	20.62470944	25.80439733	31.26472392	27.81421162	27.62505553	26.26785196	26.80193329	23.84804521	24.7745474	25.04009303	25.50445824	23.5869204	23.93156857	26.39754303	24.65948902	23.86702832	28.07111992	23.97596269	25.1054955	24.89965932	20.49032855	24.89504269	25.46762147
RT_4H	24.26785196	20.30973013	25.51653107	28.88576488	31.23077659	22.95229095	24.42981944	31.413368	28.31527286	26.10149357	26.93156857	29.10649425	27.79575471	23.25349666	19.77081348	23.77956548	24.66492291	26.38442753	26.27319858	22.8540516	24.99765776	19.96684267	26.2298603	20.97224572	27.93156857	25.27497639	24.74919183	28.33671003	25.60399391	22.39053871	28.39509294	30.67134918	26.15460491	26.56092519	24.10149357	23.00832193	22.05442828	26.50597288	31.30334521	27.8915705	28.11644391	25.55215498	25.96057966	23.48000519	23.73892349	22.96151081	24.59263405	21.46605455	20.41238956	25.84565467	24.1718829	22.91253881	28.15557024	24.33756093	25.08942074	25.64581409	20.63932181	24.16422933	25.20955332
RT_5H	23.82880899	20.12276684	25.22802598	28.94558904	31.41840359	22.67465359	24.58118403	31.63720096	28.3786518	25.71292828	26.5180331	29.20069525	27.89735285	23.82880899	19.96976249	24.52252981	24.13320243	26.5089974	26.28736012	22.89779801	25.12927673	19.68616041	26.25889665	20.52749915	27.95393638	25.78706001	24.26069217	28.13124091	25.60399391	23.09225275	28.14102193	30.83845916	26.14491585	26.52701255	24.40405634	23.57542476	22.22502955	26.42342167	31.6628876	28.10649425	28.29351234	25.86938374	26.34604241	24.44253049	24.75429872	23.04906564	24.23899709	22.54999002	20.46130677	25.66492291	23.56383678	22.88439935	28.31958585	24.45513053	25.43936321	25.66220853	20.70080696	24.95393638	25.21326682
RT_6H	24.10948636	19.77263796	25.09345625	28.74534976	31.03485638	23.01756353	23.98467991	31.30334521	28.16997331	25.8312276	26.56964241	29.16758276	27.88576488	22.90185396	19.09693541	23.60964047	24.38442753	26.06702135	26.24081753	22.93120641	24.93156857	20.15183735	26.36786369	20.65170884	29.00838417	26.80193329	25.82880899	28.9511593	26.76445858	23.35110746	27.64581409	30.23077659	26.24445152	26.73892349	24.50445824	23.48000519	21.90970781	25.97158425	31.12386138	27.77705862	27.80808552	25.80193329	26.20209751	23.5869204	24.02749299	23.20283736	24.86702832	21.81693239	21.22617062	25.99334477	24.31008019	23.32388599	28.00303093	24.08537391	25.09748051	25.48615742	20.52829146	23.98467991	24.99334477
RT_7H	23.70767256	19.46324716	24.78954956	28.10649425	30.37243774	23.39100019	24.31699961	30.94698362	27.73892349	25.76698741	26.49228352	29.2238902	28.75811706	22.78046448	18.39330247	22.77016965	22.76458118	25.306608	26.56674252	22.73975363	25.5869204	18.62677827	26.3290293	20.68743293	25.97596269	24.01903141	23.86702832	26.85043181	24.46138952	22.03207769	26.85043181	28.94279582	25.37451207	26.06702135	24.73376179	23.44253049	21.04499584	24.57542476	29.70470778	26.60399391	26.72598444	26.50294201	26.78954956	21.98625412	22.71716473	23.54037781	24.17949608	20.93495529	20.30624853	25.15653493	23.4169954	22.25929933	27.62505553	23.49228352	24.94055735	24.26069217	20.63708288	24.65403459	25.12927673
RT_8H	23.94055735	19.9923468	24.82880899	27.90884849	30.24218135	23.55215498	24.48000519	30.78487812	27.57542476	25.81909384	26.53148141	29.12878526	28.53889888	22.21373582	18.96255913	22.98449669	22.63266135	25.72077614	26.57398134	22.85410383	25.42021211	18.29818987	26.34435009	20.58748317	27.01903141	25.11346621	24.52850371	27.53148141	25.78706001	22.50307137	27.37451207	29.35992874	26.89735285	26.82638633	25.04009303	23.33756093	20.77896351	25.09748051	29.92592201	27.65948902	27.47846303	26.87408307	26.81421162	22.18555965	22.91600681	23.71816493	24.27497639	21.28867021	20.65081581	25.04009303	23.28206582	22.61849865	27.6180691	23.4169954	24.74919183	24.32388599	20.56386918	25.01903141	25.1054955
RT_9H	23.78954956	18.84819731	24.81421162	28.39917412	30.68812489	23.08864188	24.11743511	31.2018639	27.8915705	25.6292312	26.52402561	29.16518825	28.62505553	22.8282935	18.04409924	23.11397802	23.23262542	26.12534031	26.5089974	22.71078258	25.45826341	19.18795537	26.21511999	20.7897651	27.74534976	25.51050728	24.72338264	27.90884849	25.95615421	22.76499689	27.407302	29.70140641	26.05050964	26.43300771	24.20955332	22.78441978	20.27675031	25.08131569	30.57542476	27.47846303	27.20769297	25.94726238	25.80685717	23.15749991	23.76951181	23.11102914	23.76951181	21.45422809	20.50563694	24.63754647	22.97978243	22.42267589	27.93156857	24.12534031	25.34435009	24.66492291	20.65454653	25.03590523	25.21697079
RT_10H	23.83845916	19.79994045	24.84804521	28.2030316	30.55727741	23.04830377	24.20209751	30.93297676	27.65948902	25.5869204	26.45513053	29.03747708	28.61456315	22.59215452	18.57479905	22.95174573	23.59832516	25.54627841	26.17949608	22.77707899	25.48615742	19.1561095	26.40243077	20.90144454	27.05050964	24.94055735	24.06085159	27.26248545	25.07316485	22.68076685	27.29789078	29.47072738	25.71816493	26.27675202	24.79451582	23.62086773	20.88928337	25.16806119	30.29789078	27.21697079	27.32388599	26.48462182	26.88576488	22.42308218	22.96603584	23.73892349	24.65403459	21.07324658	20.70795239	25.49838372	23.91342122	22.60568297	27.78954956	23.65403459	24.92252343	24.95393638	20.9122185	24.34435009	25.08537391
